codigo,nombre,cantidad_cuotas,dias_cuotas,tasa_interes,meses_tasa,cuota_especial,uuid,created_at,updated_at
CP,CORTO PLAZO,24,30,12.0000,12,false,9920d2b9-428f-4961-8bd8-e57721fae13f,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
LP,LARGO PLAZO,48,30,14.0000,12,false,53df0f26-8847-4a33-add6-68d09a1d6521,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
VE,VEHICULO,60,30,10.0000,12,false,dcfd9a7d-8827-449a-90a1-e1fde3ff433c,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
ESPECIAL,ESPECIAL,12,30,14.0000,12,false,61829ce4-633f-445c-96da-d5a40d48b796,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
H,HIPOTECARIO,120,30,9.0000,12,false,895ef4d4-b7c4-41c0-9d80-cbf272acde8a,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
MP,MEDIANO PLAZO,36,30,13.0000,12,false,ece33a7a-908a-4b70-97f3-cd66b6e55e2d,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
CC,CASA COMERCIAL,12,30,14.0000,12,true,2608bcfa-3c96-44e9-8674-29b035a5ca3e,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
ESP12,ESPECIAL CORTO PLAZO,14,30,14.0000,12,true,b466c67b-7373-47bf-ba48-3d351e7b805d,2024-01-19 11:59:49.201616+00,2024-01-19 11:59:49.201616+00
