codigo,nombre,uuid,created_at,updated_at
311200,DEPARTAMENTO DE TESORERIA,2faa6f4f-93ee-4a91-9966-3a32e8577eae,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
311300,DEPTO EJECUCION PRESUPUESTARIA,0bf2686a-efc8-4fec-91be-4ea1222fc847,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
312000,COORDINACIÓN DE CONTABILIDAD,9360d494-5c66-4352-86b9-e914395680d0,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
320000,DIRECCION DE PERSONAL,55e7ac7c-ef1b-46fa-953d-221f8ec6dedc,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
321000,COORD. DE ASUNTOS PROFESORALES,f2db5522-419b-4bff-a70e-1aba65965f1f,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
322000,COORD. SERVIC. ADMINISTRATIVOS,f98b448a-140f-4463-a391-2eb312e7fe5e,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
322100,DPTO.SELECC,88bb5ac0-51fb-4a9f-b072-20bed4f8499d,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
322200,DPTO.RELAC. LABORALES Y BENEF.,ac052167-b7a9-4a1e-a98a-3d602b4b1b49,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
322300,DPTO. DE NOMINA,e8389e9a-ab5e-4ef7-bc43-ef7cbc2598ce,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
330000,DIREC.SERV.MANTENIMIENTO.,d23bc0fb-1e3c-4c97-8dbe-5f3dd71246eb,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
330003,UNIDAD DE BIENES NACIONALES,2899503d-ac0e-4e72-8d41-281148ca7545,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
330100,DPTO. DE SERVICIOS GENERALES,49e36bad-bb58-4753-bdac-5abc7fc6596e,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
330200,DIR. DE COMPRAS,91020aec-27c6-4b27-a272-5d1405c85aca,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
